time,RIVERLOSS
1.000000000000,.3000000000000000E+31
1314901.000000,.3000000000000000E+31
2629801.000000,.3000000000000000E+31
3944701.000000,.3000000000000000E+31
5259601.000000,.3000000000000000E+31
6574501.000000,.3000000000000000E+31
7889401.000000,.3000000000000000E+31
9204301.000000,.3000000000000000E+31
10519201.00000,.3000000000000000E+31
11834101.00000,.3000000000000000E+31
13149001.00000,.3000000000000000E+31
14463901.00000,.3000000000000000E+31
15778801.00000,.3000000000000000E+31
17093701.00000,.3000000000000000E+31
18408601.00000,.3000000000000000E+31
19723501.00000,.3000000000000000E+31
21038401.00000,.3000000000000000E+31
22353301.00000,.3000000000000000E+31
23668201.00000,.3000000000000000E+31
24983101.00000,.3000000000000000E+31
26298001.00000,.3000000000000000E+31
27612901.00000,.3000000000000000E+31
28927801.00000,.3000000000000000E+31
30242701.00000,.3000000000000000E+31
31557601.00000,.3000000000000000E+31
32872501.00000,.3000000000000000E+31
34187401.00000,.3000000000000000E+31
35502301.00000,.3000000000000000E+31
36817201.00000,.3000000000000000E+31
38132101.00000,.3000000000000000E+31
39447001.00000,.3000000000000000E+31
40761901.00000,.3000000000000000E+31
42076801.00000,.3000000000000000E+31
43391701.00000,.3000000000000000E+31
44706601.00000,.3000000000000000E+31
46021501.00000,.3000000000000000E+31
47336401.00000,.3000000000000000E+31
48651301.00000,.3000000000000000E+31
49966201.00000,.3000000000000000E+31
51281101.00000,.3000000000000000E+31
52596001.00000,.3000000000000000E+31
53910901.00000,.3000000000000000E+31
55225801.00000,.3000000000000000E+31
56540701.00000,.3000000000000000E+31
57855601.00000,.3000000000000000E+31
59170501.00000,.3000000000000000E+31
60485401.00000,.3000000000000000E+31
61800301.00000,.3000000000000000E+31
63115201.00000,.3000000000000000E+31
64430101.00000,.3000000000000000E+31
65745001.00000,.3000000000000000E+31
67059901.00000,.3000000000000000E+31
68374801.00000,.3000000000000000E+31
69689701.00000,.3000000000000000E+31
71004601.00000,.3000000000000000E+31
72319501.00000,.3000000000000000E+31
73634401.00000,.3000000000000000E+31
74949301.00000,.3000000000000000E+31
76264201.00000,.3000000000000000E+31
77579101.00000,.3000000000000000E+31
78894001.00000,.3000000000000000E+31
80208901.00000,.3000000000000000E+31
81523801.00000,.3000000000000000E+31
82838701.00000,.3000000000000000E+31
84153601.00000,.3000000000000000E+31
85468501.00000,.3000000000000000E+31
86783401.00000,.3000000000000000E+31
88098301.00000,.3000000000000000E+31
89413201.00000,.3000000000000000E+31
90728101.00000,.3000000000000000E+31
92043001.00000,.3000000000000000E+31
93357901.00000,.3000000000000000E+31
94672801.00000,.3000000000000000E+31
95987701.00000,.3000000000000000E+31
97302601.00000,.3000000000000000E+31
98617501.00000,.3000000000000000E+31
99932401.00000,.3000000000000000E+31
101247301.0000,.3000000000000000E+31
102562201.0000,.3000000000000000E+31
103877101.0000,.3000000000000000E+31
105192001.0000,.3000000000000000E+31
106506901.0000,.3000000000000000E+31
107821801.0000,.3000000000000000E+31
109136701.0000,.3000000000000000E+31
110451601.0000,.3000000000000000E+31
111766501.0000,.3000000000000000E+31
113081401.0000,.3000000000000000E+31
114396301.0000,.3000000000000000E+31
115711201.0000,.3000000000000000E+31
117026101.0000,.3000000000000000E+31
118341001.0000,.3000000000000000E+31
119655901.0000,.3000000000000000E+31
120970801.0000,.3000000000000000E+31
122285701.0000,.3000000000000000E+31
123600601.0000,.3000000000000000E+31
124915501.0000,.3000000000000000E+31
126230401.0000,.3000000000000000E+31
127545301.0000,.3000000000000000E+31
128860201.0000,.3000000000000000E+31
130175101.0000,.3000000000000000E+31
131490001.0000,.3000000000000000E+31
132804901.0000,.3000000000000000E+31
134119801.0000,.3000000000000000E+31
135434701.0000,.3000000000000000E+31
136749601.0000,.3000000000000000E+31
138064501.0000,.3000000000000000E+31
139379401.0000,.3000000000000000E+31
140694301.0000,.3000000000000000E+31
142009201.0000,.3000000000000000E+31
143324101.0000,.3000000000000000E+31
144639001.0000,.3000000000000000E+31
145953901.0000,.3000000000000000E+31
147268801.0000,.3000000000000000E+31
148583701.0000,.3000000000000000E+31
149898601.0000,.3000000000000000E+31
151213501.0000,.3000000000000000E+31
152528401.0000,.3000000000000000E+31
153843301.0000,.3000000000000000E+31
155158201.0000,.3000000000000000E+31
156473101.0000,.3000000000000000E+31
157788001.0000,.3000000000000000E+31
159102901.0000,.3000000000000000E+31
160417801.0000,.3000000000000000E+31
161732701.0000,.3000000000000000E+31
163047601.0000,.3000000000000000E+31
164362501.0000,.3000000000000000E+31
165677401.0000,.3000000000000000E+31
166992301.0000,.3000000000000000E+31
168307201.0000,.3000000000000000E+31
169622101.0000,.3000000000000000E+31
170937001.0000,.3000000000000000E+31
172251901.0000,.3000000000000000E+31
173566801.0000,.3000000000000000E+31
174881701.0000,.3000000000000000E+31
176196601.0000,.3000000000000000E+31
177511501.0000,.3000000000000000E+31
178826401.0000,.3000000000000000E+31
180141301.0000,.3000000000000000E+31
181456201.0000,.3000000000000000E+31
182771101.0000,.3000000000000000E+31
184086001.0000,.3000000000000000E+31
185400901.0000,.3000000000000000E+31
186715801.0000,.3000000000000000E+31
188030701.0000,.3000000000000000E+31
189345601.0000,.3000000000000000E+31
190660501.0000,.3000000000000000E+31
191975401.0000,.3000000000000000E+31
193290301.0000,.3000000000000000E+31
194605201.0000,.3000000000000000E+31
195920101.0000,.3000000000000000E+31
197235001.0000,.3000000000000000E+31
198549901.0000,.3000000000000000E+31
199864801.0000,.3000000000000000E+31
201179701.0000,.3000000000000000E+31
202494601.0000,.3000000000000000E+31
203809501.0000,.3000000000000000E+31
205124401.0000,.3000000000000000E+31
206439301.0000,.3000000000000000E+31
207754201.0000,.3000000000000000E+31
209069101.0000,.3000000000000000E+31
210384001.0000,.3000000000000000E+31
211698901.0000,.3000000000000000E+31
213013801.0000,.3000000000000000E+31
214328701.0000,.3000000000000000E+31
215643601.0000,.3000000000000000E+31
216958501.0000,.3000000000000000E+31
218273401.0000,.3000000000000000E+31
219588301.0000,.3000000000000000E+31
220903201.0000,.3000000000000000E+31
222218101.0000,.3000000000000000E+31
223533001.0000,.3000000000000000E+31
224847901.0000,.3000000000000000E+31
226162801.0000,.3000000000000000E+31
227477701.0000,.3000000000000000E+31
228792601.0000,.3000000000000000E+31
230107501.0000,.3000000000000000E+31
231422401.0000,.3000000000000000E+31
232737301.0000,.3000000000000000E+31
234052201.0000,.3000000000000000E+31
235367101.0000,.3000000000000000E+31
236682001.0000,.3000000000000000E+31
237996901.0000,.3000000000000000E+31
239311801.0000,.3000000000000000E+31
240626701.0000,.3000000000000000E+31
241941601.0000,.3000000000000000E+31
243256501.0000,.3000000000000000E+31
244571401.0000,.3000000000000000E+31
245886301.0000,.3000000000000000E+31
247201201.0000,.3000000000000000E+31
248516101.0000,.3000000000000000E+31
249831001.0000,.3000000000000000E+31
251145901.0000,.3000000000000000E+31
252460801.0000,.3000000000000000E+31
253775701.0000,.3000000000000000E+31
255090601.0000,.3000000000000000E+31
256405501.0000,.3000000000000000E+31
257720401.0000,.3000000000000000E+31
259035301.0000,.3000000000000000E+31
260350201.0000,.3000000000000000E+31
261665101.0000,.3000000000000000E+31
262980001.0000,.3000000000000000E+31
264294901.0000,.3000000000000000E+31
265609801.0000,.3000000000000000E+31
266924701.0000,.3000000000000000E+31
268239601.0000,.3000000000000000E+31
269554501.0000,.3000000000000000E+31
270869401.0000,.3000000000000000E+31
272184301.0000,.3000000000000000E+31
273499201.0000,.3000000000000000E+31
274814101.0000,.3000000000000000E+31
276129001.0000,.3000000000000000E+31
277443901.0000,.3000000000000000E+31
278758801.0000,.3000000000000000E+31
280073701.0000,.3000000000000000E+31
281388601.0000,.3000000000000000E+31
282703501.0000,.3000000000000000E+31
284018401.0000,.3000000000000000E+31
285333301.0000,.3000000000000000E+31
286648201.0000,.3000000000000000E+31
287963101.0000,.3000000000000000E+31
289278001.0000,.3000000000000000E+31
290592901.0000,.3000000000000000E+31
291907801.0000,.3000000000000000E+31
293222701.0000,.3000000000000000E+31
294537601.0000,.3000000000000000E+31
295852501.0000,.3000000000000000E+31
297167401.0000,.3000000000000000E+31
298482301.0000,.3000000000000000E+31
299797201.0000,.3000000000000000E+31
301112101.0000,.3000000000000000E+31
302427001.0000,.3000000000000000E+31
303741901.0000,.3000000000000000E+31
305056801.0000,.3000000000000000E+31
306371701.0000,.3000000000000000E+31
307686601.0000,.3000000000000000E+31
309001501.0000,.3000000000000000E+31
310316401.0000,.3000000000000000E+31
311631301.0000,.3000000000000000E+31
312946201.0000,.3000000000000000E+31
314261101.0000,.3000000000000000E+31
315576001.0000,.3000000000000000E+31
316890901.0000,.3000000000000000E+31
318205801.0000,.3000000000000000E+31
319520701.0000,.3000000000000000E+31
320835601.0000,.3000000000000000E+31
322150501.0000,.3000000000000000E+31
323465401.0000,.3000000000000000E+31
324780301.0000,.3000000000000000E+31
326095201.0000,.3000000000000000E+31
327410101.0000,.3000000000000000E+31
328725001.0000,.3000000000000000E+31
330039901.0000,.3000000000000000E+31
331354801.0000,.3000000000000000E+31
332669701.0000,.3000000000000000E+31
333984601.0000,.3000000000000000E+31
335299501.0000,.3000000000000000E+31
336614401.0000,.3000000000000000E+31
337929301.0000,.3000000000000000E+31
339244201.0000,.3000000000000000E+31
340559101.0000,.3000000000000000E+31
341874001.0000,.3000000000000000E+31
343188901.0000,.3000000000000000E+31
344503801.0000,.3000000000000000E+31
345818701.0000,.3000000000000000E+31
347133601.0000,.3000000000000000E+31
348448501.0000,.3000000000000000E+31
349763401.0000,.3000000000000000E+31
351078301.0000,.3000000000000000E+31
352393201.0000,.3000000000000000E+31
353708101.0000,.3000000000000000E+31
355023001.0000,.3000000000000000E+31
356337901.0000,.3000000000000000E+31
357652801.0000,.3000000000000000E+31
358967701.0000,.3000000000000000E+31
360282601.0000,.3000000000000000E+31
361597501.0000,.3000000000000000E+31
362912401.0000,.3000000000000000E+31
364227301.0000,.3000000000000000E+31
365542201.0000,.3000000000000000E+31
366857101.0000,.3000000000000000E+31
368172001.0000,.3000000000000000E+31
369486901.0000,.3000000000000000E+31
370801801.0000,.3000000000000000E+31
372116701.0000,.3000000000000000E+31
373431601.0000,.3000000000000000E+31
374746501.0000,.3000000000000000E+31
376061401.0000,.3000000000000000E+31
377376301.0000,.3000000000000000E+31
378691201.0000,.3000000000000000E+31
380006101.0000,.3000000000000000E+31
381321001.0000,.3000000000000000E+31
382635901.0000,.3000000000000000E+31
383950801.0000,.3000000000000000E+31
385265701.0000,.3000000000000000E+31
386580601.0000,.3000000000000000E+31
387895501.0000,.3000000000000000E+31
389210401.0000,.3000000000000000E+31
390525301.0000,.3000000000000000E+31
391840201.0000,.3000000000000000E+31
393155101.0000,.3000000000000000E+31
394470001.0000,.3000000000000000E+31
395784901.0000,.3000000000000000E+31
397099801.0000,.3000000000000000E+31
398414701.0000,.3000000000000000E+31
399729601.0000,.3000000000000000E+31
401044501.0000,.3000000000000000E+31
402359401.0000,.3000000000000000E+31
403674301.0000,.3000000000000000E+31
404989201.0000,.3000000000000000E+31
406304101.0000,.3000000000000000E+31
407619001.0000,.3000000000000000E+31
408933901.0000,.3000000000000000E+31
410248801.0000,.3000000000000000E+31
411563701.0000,.3000000000000000E+31
412878601.0000,.3000000000000000E+31
414193501.0000,.3000000000000000E+31
415508401.0000,.3000000000000000E+31
416823301.0000,.3000000000000000E+31
418138201.0000,.3000000000000000E+31
419453101.0000,.3000000000000000E+31
420768001.0000,.3000000000000000E+31
422082901.0000,.3000000000000000E+31
423397801.0000,.3000000000000000E+31
424712701.0000,.3000000000000000E+31
426027601.0000,.3000000000000000E+31
427342501.0000,.3000000000000000E+31
428657401.0000,.3000000000000000E+31
429972301.0000,.3000000000000000E+31
431287201.0000,.3000000000000000E+31
432602101.0000,.3000000000000000E+31
433917001.0000,.3000000000000000E+31
435231901.0000,.3000000000000000E+31
436546801.0000,.3000000000000000E+31
437861701.0000,.3000000000000000E+31
439176601.0000,.3000000000000000E+31
440491501.0000,.3000000000000000E+31
441806401.0000,.3000000000000000E+31
443121301.0000,.3000000000000000E+31
444436201.0000,.3000000000000000E+31
445751101.0000,.3000000000000000E+31
447066001.0000,.3000000000000000E+31
448380901.0000,.3000000000000000E+31
449695801.0000,.3000000000000000E+31
451010701.0000,.3000000000000000E+31
452325601.0000,.3000000000000000E+31
453640501.0000,.3000000000000000E+31
454955401.0000,.3000000000000000E+31
456270301.0000,.3000000000000000E+31
457585201.0000,.3000000000000000E+31
458900101.0000,.3000000000000000E+31
460215001.0000,.3000000000000000E+31
461529901.0000,.3000000000000000E+31
462844801.0000,.3000000000000000E+31
464159701.0000,.3000000000000000E+31
465474601.0000,.3000000000000000E+31
466789501.0000,.3000000000000000E+31
468104401.0000,.3000000000000000E+31
469419301.0000,.3000000000000000E+31
470734201.0000,.3000000000000000E+31
472049101.0000,.3000000000000000E+31
473364001.0000,.3000000000000000E+31
474678901.0000,.3000000000000000E+31
475993801.0000,.3000000000000000E+31
477308701.0000,.3000000000000000E+31
478623601.0000,.3000000000000000E+31
479938501.0000,.3000000000000000E+31
481253401.0000,.3000000000000000E+31
482568301.0000,.3000000000000000E+31
483883201.0000,.3000000000000000E+31
485198101.0000,.3000000000000000E+31
486513001.0000,.3000000000000000E+31
487827901.0000,.3000000000000000E+31
489142801.0000,.3000000000000000E+31
490457701.0000,.3000000000000000E+31
491772601.0000,.3000000000000000E+31
493087501.0000,.3000000000000000E+31
494402401.0000,.3000000000000000E+31
495717301.0000,.3000000000000000E+31
497032201.0000,.3000000000000000E+31
498347101.0000,.3000000000000000E+31
499662001.0000,.3000000000000000E+31
500976901.0000,.3000000000000000E+31
502291801.0000,.3000000000000000E+31
503606701.0000,.3000000000000000E+31
504921601.0000,.3000000000000000E+31
506236501.0000,.3000000000000000E+31
507551401.0000,.3000000000000000E+31
508866301.0000,.3000000000000000E+31
510181201.0000,.3000000000000000E+31
511496101.0000,.3000000000000000E+31
512811001.0000,.3000000000000000E+31
514125901.0000,.3000000000000000E+31
515440801.0000,.3000000000000000E+31
516755701.0000,.3000000000000000E+31
518070601.0000,.3000000000000000E+31
519385501.0000,.3000000000000000E+31
520700401.0000,.3000000000000000E+31
522015301.0000,.3000000000000000E+31
523330201.0000,.3000000000000000E+31
524645101.0000,.3000000000000000E+31
525960001.0000,.3000000000000000E+31
527274901.0000,.3000000000000000E+31
528589801.0000,.3000000000000000E+31
529904701.0000,.3000000000000000E+31
531219601.0000,.3000000000000000E+31
532534501.0000,.3000000000000000E+31
533849401.0000,.3000000000000000E+31
535164301.0000,.3000000000000000E+31
536479201.0000,.3000000000000000E+31
537794101.0000,.3000000000000000E+31
539109001.0000,.3000000000000000E+31
540423901.0000,.3000000000000000E+31
541738801.0000,.3000000000000000E+31
543053701.0000,.3000000000000000E+31
544368601.0000,.3000000000000000E+31
545683501.0000,.3000000000000000E+31
546998401.0000,.3000000000000000E+31
548313301.0000,.3000000000000000E+31
549628201.0000,.3000000000000000E+31
550943101.0000,.3000000000000000E+31
552258001.0000,.3000000000000000E+31
553572901.0000,.3000000000000000E+31
554887801.0000,.3000000000000000E+31
556202701.0000,.3000000000000000E+31
557517601.0000,.3000000000000000E+31
558832501.0000,.3000000000000000E+31
560147401.0000,.3000000000000000E+31
561462301.0000,.3000000000000000E+31
562777201.0000,.3000000000000000E+31
564092101.0000,.3000000000000000E+31
565407001.0000,.3000000000000000E+31
566721901.0000,.3000000000000000E+31
568036801.0000,.3000000000000000E+31
569351701.0000,.3000000000000000E+31
570666601.0000,.3000000000000000E+31
571981501.0000,.3000000000000000E+31
573296401.0000,.3000000000000000E+31
574611301.0000,.3000000000000000E+31
575926201.0000,.3000000000000000E+31
577241101.0000,.3000000000000000E+31
578556001.0000,.3000000000000000E+31
579870901.0000,.3000000000000000E+31
581185801.0000,.3000000000000000E+31
582500701.0000,.3000000000000000E+31
583815601.0000,.3000000000000000E+31
585130501.0000,.3000000000000000E+31
586445401.0000,.3000000000000000E+31
587760301.0000,.3000000000000000E+31
589075201.0000,.3000000000000000E+31
590390101.0000,.3000000000000000E+31
591705001.0000,.3000000000000000E+31
593019901.0000,.3000000000000000E+31
594334801.0000,.3000000000000000E+31
595649701.0000,.3000000000000000E+31
596964601.0000,.3000000000000000E+31
598279501.0000,.3000000000000000E+31
599594401.0000,.3000000000000000E+31
600909301.0000,.3000000000000000E+31
602224201.0000,.3000000000000000E+31
603539101.0000,.3000000000000000E+31
604854001.0000,.3000000000000000E+31
606168901.0000,.3000000000000000E+31
607483801.0000,.3000000000000000E+31
608798701.0000,.3000000000000000E+31
610113601.0000,.3000000000000000E+31
611428501.0000,.3000000000000000E+31
612743401.0000,.3000000000000000E+31
614058301.0000,.3000000000000000E+31
615373201.0000,.3000000000000000E+31
616688101.0000,.3000000000000000E+31
618003001.0000,.3000000000000000E+31
619317901.0000,.3000000000000000E+31
620632801.0000,.3000000000000000E+31
621947701.0000,.3000000000000000E+31
623262601.0000,.3000000000000000E+31
624577501.0000,.3000000000000000E+31
625892401.0000,.3000000000000000E+31
627207301.0000,.3000000000000000E+31
628522201.0000,.3000000000000000E+31
629837101.0000,.3000000000000000E+31
631152001.0000,.3000000000000000E+31
632466901.0000,.3000000000000000E+31
633781801.0000,.3000000000000000E+31
635096701.0000,.3000000000000000E+31
636411601.0000,.3000000000000000E+31
637726501.0000,.3000000000000000E+31
639041401.0000,.3000000000000000E+31
640356301.0000,.3000000000000000E+31
641671201.0000,.3000000000000000E+31
642986101.0000,.3000000000000000E+31
644301001.0000,.3000000000000000E+31
645615901.0000,.3000000000000000E+31
646930801.0000,.3000000000000000E+31
648245701.0000,.3000000000000000E+31
649560601.0000,.3000000000000000E+31
650875501.0000,.3000000000000000E+31
652190401.0000,.3000000000000000E+31
653505301.0000,.3000000000000000E+31
654820201.0000,.3000000000000000E+31
656135101.0000,.3000000000000000E+31
657450001.0000,.3000000000000000E+31
658764901.0000,.3000000000000000E+31
660079801.0000,.3000000000000000E+31
661394701.0000,.3000000000000000E+31
662709601.0000,.3000000000000000E+31
664024501.0000,.3000000000000000E+31
665339401.0000,.3000000000000000E+31
666654301.0000,.3000000000000000E+31
667969201.0000,.3000000000000000E+31
669284101.0000,.3000000000000000E+31
670599001.0000,.3000000000000000E+31
671913901.0000,.3000000000000000E+31
673228801.0000,.3000000000000000E+31
674543701.0000,.3000000000000000E+31
675858601.0000,.3000000000000000E+31
677173501.0000,.3000000000000000E+31
678488401.0000,.3000000000000000E+31
679803301.0000,.3000000000000000E+31
681118201.0000,.3000000000000000E+31
682433101.0000,.3000000000000000E+31
683748001.0000,.3000000000000000E+31
685062901.0000,.3000000000000000E+31
686377801.0000,.3000000000000000E+31
687692701.0000,.3000000000000000E+31
689007601.0000,.3000000000000000E+31
690322501.0000,.3000000000000000E+31
691637401.0000,.3000000000000000E+31
692952301.0000,.3000000000000000E+31
694267201.0000,.3000000000000000E+31
695582101.0000,.3000000000000000E+31
696897001.0000,.3000000000000000E+31
698211901.0000,.3000000000000000E+31
699526801.0000,.3000000000000000E+31
700841701.0000,.3000000000000000E+31
702156601.0000,.3000000000000000E+31
703471501.0000,.3000000000000000E+31
704786401.0000,.3000000000000000E+31
706101301.0000,.3000000000000000E+31
707416201.0000,.3000000000000000E+31
708731101.0000,.3000000000000000E+31
710046001.0000,.3000000000000000E+31
711360901.0000,.3000000000000000E+31
712675801.0000,.3000000000000000E+31
713990701.0000,.3000000000000000E+31
715305601.0000,.3000000000000000E+31
716620501.0000,.3000000000000000E+31
717935401.0000,.3000000000000000E+31
719250301.0000,.3000000000000000E+31
720565201.0000,.3000000000000000E+31
721880101.0000,.3000000000000000E+31
723195001.0000,.3000000000000000E+31
724509901.0000,.3000000000000000E+31
725824801.0000,.3000000000000000E+31
727139701.0000,.3000000000000000E+31
728454601.0000,.3000000000000000E+31
729769501.0000,.3000000000000000E+31
731084401.0000,.3000000000000000E+31
732399301.0000,.3000000000000000E+31
733714201.0000,.3000000000000000E+31
735029101.0000,.3000000000000000E+31
736344001.0000,.3000000000000000E+31
737658901.0000,.3000000000000000E+31
738973801.0000,.3000000000000000E+31
740288701.0000,.3000000000000000E+31
741603601.0000,.3000000000000000E+31
742918501.0000,.3000000000000000E+31
744233401.0000,.3000000000000000E+31
745548301.0000,.3000000000000000E+31
746863201.0000,.3000000000000000E+31
748178101.0000,.3000000000000000E+31
749493001.0000,.3000000000000000E+31
750807901.0000,.3000000000000000E+31
752122801.0000,.3000000000000000E+31
753437701.0000,.3000000000000000E+31
754752601.0000,.3000000000000000E+31
756067501.0000,.3000000000000000E+31
757382401.0000,.3000000000000000E+31
758697301.0000,.3000000000000000E+31
760012201.0000,.3000000000000000E+31
761327101.0000,.3000000000000000E+31
762642001.0000,.3000000000000000E+31
763956901.0000,.3000000000000000E+31
765271801.0000,.3000000000000000E+31
766586701.0000,.3000000000000000E+31
767901601.0000,.3000000000000000E+31
769216501.0000,.3000000000000000E+31
770531401.0000,.3000000000000000E+31
771846301.0000,.3000000000000000E+31
773161201.0000,.3000000000000000E+31
774476101.0000,.3000000000000000E+31
775791001.0000,.3000000000000000E+31
777105901.0000,.3000000000000000E+31
778420801.0000,.3000000000000000E+31
779735701.0000,.3000000000000000E+31
781050601.0000,.3000000000000000E+31
782365501.0000,.3000000000000000E+31
783680401.0000,.3000000000000000E+31
784995301.0000,.3000000000000000E+31
786310201.0000,.3000000000000000E+31
787625101.0000,.3000000000000000E+31
788940001.0000,.3000000000000000E+31
790254901.0000,.3000000000000000E+31
791569801.0000,.3000000000000000E+31
792884701.0000,.3000000000000000E+31
794199601.0000,.3000000000000000E+31
795514501.0000,.3000000000000000E+31
796829401.0000,.3000000000000000E+31
798144301.0000,.3000000000000000E+31
799459201.0000,.3000000000000000E+31
800774101.0000,.3000000000000000E+31
802089001.0000,.3000000000000000E+31
803403901.0000,.3000000000000000E+31
804718801.0000,.3000000000000000E+31
806033701.0000,.3000000000000000E+31
807348601.0000,.3000000000000000E+31
808663501.0000,.3000000000000000E+31
809978401.0000,.3000000000000000E+31
811293301.0000,.3000000000000000E+31
812608201.0000,.3000000000000000E+31
813923101.0000,.3000000000000000E+31
815238001.0000,.3000000000000000E+31
816552901.0000,.3000000000000000E+31
817867801.0000,.3000000000000000E+31
819182701.0000,.3000000000000000E+31
820497601.0000,.3000000000000000E+31
821812501.0000,.3000000000000000E+31
823127401.0000,.3000000000000000E+31
824442301.0000,.3000000000000000E+31
825757201.0000,.3000000000000000E+31
827072101.0000,.3000000000000000E+31
828387001.0000,.3000000000000000E+31
829701901.0000,.3000000000000000E+31
831016801.0000,.3000000000000000E+31
832331701.0000,.3000000000000000E+31
833646601.0000,.3000000000000000E+31
834961501.0000,.3000000000000000E+31
836276401.0000,.3000000000000000E+31
837591301.0000,.3000000000000000E+31
838906201.0000,.3000000000000000E+31
840221101.0000,.3000000000000000E+31
841536001.0000,.3000000000000000E+31
842850901.0000,.3000000000000000E+31
844165801.0000,.3000000000000000E+31
845480701.0000,.3000000000000000E+31
846795601.0000,.3000000000000000E+31
848110501.0000,.3000000000000000E+31
849425401.0000,.3000000000000000E+31
850740301.0000,.3000000000000000E+31
852055201.0000,.3000000000000000E+31
853370101.0000,.3000000000000000E+31
854685001.0000,.3000000000000000E+31
855999901.0000,.3000000000000000E+31
857314801.0000,.3000000000000000E+31
858629701.0000,.3000000000000000E+31
859944601.0000,.3000000000000000E+31
861259501.0000,.3000000000000000E+31
862574401.0000,.3000000000000000E+31
863889301.0000,.3000000000000000E+31
865204201.0000,.3000000000000000E+31
866519101.0000,.3000000000000000E+31
867834001.0000,.3000000000000000E+31
869148901.0000,.3000000000000000E+31
870463801.0000,.3000000000000000E+31
871778701.0000,.3000000000000000E+31
873093601.0000,.3000000000000000E+31
874408501.0000,.3000000000000000E+31
875723401.0000,.3000000000000000E+31
877038301.0000,.3000000000000000E+31
878353201.0000,.3000000000000000E+31
879668101.0000,.3000000000000000E+31
880983001.0000,.3000000000000000E+31
882297901.0000,.3000000000000000E+31
883612801.0000,.3000000000000000E+31
884927701.0000,.3000000000000000E+31
886242601.0000,.3000000000000000E+31
887557501.0000,.3000000000000000E+31
888872401.0000,.3000000000000000E+31
890187301.0000,.3000000000000000E+31
891502201.0000,.3000000000000000E+31
892817101.0000,.3000000000000000E+31
894132001.0000,.3000000000000000E+31
895446901.0000,.3000000000000000E+31
896761801.0000,.3000000000000000E+31
898076701.0000,.3000000000000000E+31
899391601.0000,.3000000000000000E+31
900706501.0000,.3000000000000000E+31
902021401.0000,.3000000000000000E+31
903336301.0000,.3000000000000000E+31
904651201.0000,.3000000000000000E+31
905966101.0000,.3000000000000000E+31
907281001.0000,.3000000000000000E+31
908595901.0000,.3000000000000000E+31
909910801.0000,.3000000000000000E+31
911225701.0000,.3000000000000000E+31
912540601.0000,.3000000000000000E+31
913855501.0000,.3000000000000000E+31
915170401.0000,.3000000000000000E+31
916485301.0000,.3000000000000000E+31
917800201.0000,.3000000000000000E+31
919115101.0000,.3000000000000000E+31
920430001.0000,.3000000000000000E+31
921744901.0000,.3000000000000000E+31
923059801.0000,.3000000000000000E+31
924374701.0000,.3000000000000000E+31
925689601.0000,.3000000000000000E+31
927004501.0000,.3000000000000000E+31
928319401.0000,.3000000000000000E+31
929634301.0000,.3000000000000000E+31
930949201.0000,.3000000000000000E+31
932264101.0000,.3000000000000000E+31
933579001.0000,.3000000000000000E+31
934893901.0000,.3000000000000000E+31
936208801.0000,.3000000000000000E+31
937523701.0000,.3000000000000000E+31
938838601.0000,.3000000000000000E+31
940153501.0000,.3000000000000000E+31
941468401.0000,.3000000000000000E+31
942783301.0000,.3000000000000000E+31
944098201.0000,.3000000000000000E+31
945413101.0000,.3000000000000000E+31
946728001.0000,.3000000000000000E+31
